City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Muisne,EC,75.49,overcast clouds,0.6,-80.0333,Quinta Samay
259,Muros,ES,79.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
261,Faanui,PF,77.13,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
270,Aranos,,89.89,clear sky,-24.1333,19.1167,Ley-Lia Guest House
276,Takoradi,GH,79.84,overcast clouds,4.8845,-1.7554,Raybow International Hotel
277,Pedernales,DO,84.15,scattered clouds,18.0384,-71.744,Hotel Costa Marina
281,Morant Bay,JM,85.66,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
283,Buchanan,LR,82.04,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
296,Nawa,IN,78.46,overcast clouds,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
301,Bengkulu,ID,76.8,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
302,Bilaspur,IN,77.34,broken clouds,22.0833,82.15,Hotel East Park
303,Padang,ID,78.85,scattered clouds,-0.9492,100.3543,Mercure Padang
304,Portobelo,PA,84.85,overcast clouds,9.55,-79.65,Scuba Portobelo
311,Eyl,SO,78.35,broken clouds,7.9803,49.8164,Amiin Hotel
312,Palmer,US,80.2,broken clouds,42.1584,-72.3287,Wedgewood Motel
313,Kupang,ID,77.4,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
321,Do Gonbadan,IR,82.54,clear sky,30.3586,50.7981,شبکه بهداشت و درمان گچساران
322,Makakilo City,US,75.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
324,Paka,MY,79.14,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
325,Manaure,CO,88.9,overcast clouds,11.7751,-72.4445,Hotel Palaaima
326,Porto Novo,BJ,83.14,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
332,Talikota,IN,75.78,overcast clouds,16.4833,76.3167,Prabhugouda B Bantanur
337,Dalbandin,PK,86.67,clear sky,28.8947,64.4101,Gidaan Guest House
338,Southbridge,US,79.29,scattered clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
341,Didwana,IN,79.12,moderate rain,27.4,74.5667,Marudhar Hotel Didwana
342,Dingle,PH,76.06,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
343,Kieta,PG,77.54,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
346,Tabas,IR,89.74,scattered clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
362,Road Town,VG,89.64,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
363,Warburton,PK,75.4,broken clouds,31.55,73.8333,Javed Paul Hardware Store
368,Axim,GH,81.16,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
369,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
372,Manavalakurichi,IN,82.49,broken clouds,8.1333,77.3,Udaya Boys Hostel
373,Sola,VU,78.12,overcast clouds,-13.8833,167.55,Leumerus Bungalows
374,Hobyo,SO,78.03,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
379,Ca Mau,VN,78.19,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
384,Shimoda,JP,75.61,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
385,Gambela,ET,75.94,broken clouds,8.25,34.5833,Solomon Debebe Hotel
387,Lixourion,GR,75.06,few clouds,38.2019,20.4314,Hotel Summery
391,Pahrump,US,83.17,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
395,Andros Town,BS,89.56,few clouds,24.7,-77.7667,Hanks place
