City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Sawtell,AU,-30.3833,153.1,57.22,82,0,6.91,clear sky
79,Taft,IR,31.7471,54.2088,84.15,9,20,0.0,few clouds
80,Kapaa,US,22.0752,-159.319,75.52,80,40,11.5,moderate rain
81,Paithan,IN,19.4833,75.3833,75.47,86,99,9.91,moderate rain
82,Ingleside,US,27.8778,-97.2117,84.02,40,1,4.61,clear sky
83,Hofn,IS,64.2539,-15.2082,37.89,95,100,5.79,overcast clouds
84,Tasiilaq,GL,65.6145,-37.6368,41.16,54,93,4.45,overcast clouds
85,Cherskiy,RU,68.75,161.3,28.54,97,100,5.17,light snow
86,Sopot,PL,54.4418,18.56,58.68,94,75,19.57,light rain
87,Zurrieq,MT,35.8311,14.4742,77.97,73,20,11.5,few clouds
88,Yellowknife,CA,62.456,-114.3525,43.66,81,97,10.42,overcast clouds
89,Luba,GQ,3.4568,8.5547,78.75,76,100,2.35,overcast clouds
90,Lebu,CL,-37.6167,-73.65,56.64,63,26,10.87,scattered clouds
91,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,93,90,32.21,overcast clouds
92,Ilulissat,GL,69.2167,-51.1,24.82,74,75,5.75,light shower snow
93,Husavik,IS,66.0449,-17.3389,42.3,63,100,9.82,overcast clouds
94,Ahipara,NZ,-35.1667,173.1667,56.73,89,100,18.86,overcast clouds
95,San Patricio,US,28.017,-97.5169,84.06,35,3,6.73,clear sky
96,Camargo,MX,27.6667,-105.1667,73.9,44,37,10.67,scattered clouds
97,Puerto Ayora,EC,-0.7393,-90.3518,70.48,84,96,10.31,overcast clouds
98,East London,ZA,-33.0153,27.9116,73.15,66,97,12.41,overcast clouds
99,Turbat,PK,26.0023,63.044,85.62,61,44,7.96,scattered clouds
100,Georgetown,MY,5.4112,100.3354,82.89,81,20,0.0,few clouds
101,Paamiut,GL,61.994,-49.6678,34.5,77,19,11.18,few clouds
102,Pudozh,RU,61.8099,36.5345,47.21,82,95,6.91,overcast clouds
103,Portland,US,45.5234,-122.6762,60.57,88,90,1.99,overcast clouds
104,Ribeira Grande,PT,38.5167,-28.7,73.8,64,20,14.97,few clouds
105,Vila,PT,42.0304,-8.1588,72.48,42,85,4.65,overcast clouds
106,Lasa,IT,46.6166,10.7002,68.74,57,44,0.81,scattered clouds
107,Namatanai,PG,-3.6667,152.4333,78.58,79,100,7.0,overcast clouds
108,Port Elizabeth,ZA,-33.918,25.5701,69.1,45,0,27.63,clear sky
109,Ola,RU,59.5833,151.2833,43.63,82,2,1.3,clear sky
110,Pilar Do Sul,BR,-23.8131,-47.7164,67.95,52,31,11.5,scattered clouds
111,Pacific Grove,US,36.6177,-121.9166,70.57,94,90,1.99,mist
112,Birao,CF,10.2849,22.7882,78.67,84,71,5.53,light rain
113,Vaini,TO,-21.2,-175.2,69.96,94,20,5.75,light rain
114,Tezu,IN,27.9167,96.1667,75.9,80,6,4.03,clear sky
115,Cayenne,GF,4.9333,-52.3333,91.44,69,20,3.0,few clouds
116,Kavaratti,IN,10.5669,72.642,82.51,77,75,16.4,broken clouds
117,Haines Junction,CA,60.7522,-137.5108,33.91,96,100,2.06,light rain
118,Hasaki,JP,35.7333,140.8333,72.0,74,97,12.33,overcast clouds
119,Pansemal,IN,21.65,74.7,76.78,91,46,6.38,scattered clouds
120,Valence,ES,39.4697,-0.3774,75.94,70,75,1.99,broken clouds
121,Normandin,CA,48.8333,-72.5321,52.11,98,100,6.89,moderate rain
122,Coihaique,CL,-45.5752,-72.0662,56.01,67,75,3.44,light intensity shower rain
123,Yarmouth,US,41.7057,-70.2286,80.26,78,90,10.0,overcast clouds
124,Dalmeny,CA,52.3334,-106.7679,57.9,39,11,20.51,few clouds
125,Campoverde,PE,-8.4753,-74.8058,95.31,35,31,2.48,scattered clouds
126,Salalah,OM,17.0151,54.0924,82.49,89,75,8.05,broken clouds
127,Te Anau,NZ,-45.4167,167.7167,43.93,80,74,8.52,broken clouds
128,Laguna,US,38.421,-121.4238,82.09,53,1,1.01,clear sky
129,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,77,75,12.66,volcanic ash
130,Torbay,CA,47.6666,-52.7314,71.28,71,33,8.12,scattered clouds
